uid	first_name	last_name	email	accomodations	notes
389673983	Wanda	Peters	wanda.peters@umd.edu	n	none
852178558	Michael	Harris	michael.harris@umd.edu	n	none
302334151	Wendy	Wilkins	wendy.wilkins@umd.edu	n	none
644803654	Jessica	Arnold	jessica.arnold@umd.edu	n	none
357622917	John	Bell	john.bell@umd.edu	n	none
754984587	Rebecca	Rutherford	rebecca.rutherford@umd.edu	n	none
890256993	Una	Kerr	una.kerr@umd.edu	n	none
242182440	Julia	Randall	julia.randall@umd.edu	n	none
577188460	Peter	Lawrence	peter.lawrence@umd.edu	n	none
127777764	Nicholas	Oliver	nicholas.oliver@umd.edu	n	none
234307576	Boris	King	boris.king@umd.edu	n	none
370174260	Nicholas	Bailey	nicholas.bailey@umd.edu	n	none
457397130	Andrew	Metcalfe	andrew.metcalfe@umd.edu	n	none
308422548	Victor	Powell	victor.powell@umd.edu	n	none
706886652	Diane	Hart	diane.hart@umd.edu	n	none
976604031	Charles	Young	charles.young@umd.edu	n	none
469310830	Liam	Howard	liam.howard@umd.edu	n	none
768161120	Max	Morgan	max.morgan@umd.edu	n	none
492186064	Julian	Walker	julian.walker@umd.edu	n	none
514608306	Carol	Hill	carol.hill@umd.edu	n	none
842892572	Alison	Peters	alison.peters@umd.edu	n	none
602386876	Ruth	Walsh	ruth.walsh@umd.edu	n	none
618989474	Stephen	Clarkson	stephen.clarkson@umd.edu	n	none
269299554	Isaac	Hill	isaac.hill@umd.edu	n	none
664612269	Robert	Campbell	robert.campbell@umd.edu	n	none
583220390	Samantha	Underwood	samantha.underwood@umd.edu	n	none
543680280	William	Arnold	william.arnold@umd.edu	n	none
825446810	Sally	Short	sally.short@umd.edu	n	none
167867174	Frank	Walsh	frank.walsh@umd.edu	n	none
759270867	Jake	Tucker	jake.tucker@umd.edu	n	none
977458548	Steven	Powell	steven.powell@umd.edu	n	none
790429871	Jasmine	McLean	jasmine.mclean@umd.edu	n	none
734042088	Samantha	Knox	samantha.knox@umd.edu	n	none
297228007	Max	McGrath	max.mcgrath@umd.edu	n	none
